Minimum_HR,Maximum_HR,Average_HR,Delta_HR,Standard_Dev_SC,Maximum_SC,Average_SC,Sum_SC,Activity,Sedentary,ActivityCategorical
46,104,69.37962963,-6,3.801049278,23.62304687,1.199584734,646.5761718,Sedentary,1,0
52,104,67.96851852,11,3.729321327,24.19921875,0.87701835,472.7128906,Sedentary,1,0
64,116,83.79259259,16,5.862444078,22.47070312,2.296063311,1237.578125,Sedentary,1,0
56,124,89.13541667,-6,6.250036601,20.38671875,2.909516081,1393.658203,Sedentary,1,0
56,130,79.87916667,-3,6.317219531,19.8515625,2.924076853,1400.632812,Sedentary,1,0
54,131,99.55813953,15,7.042145086,29.78320312,4.178176017,2143.404297,Sedentary,1,0
62,114,78.72564612,-7,1.466720343,16.93554687,0.145752926,73.16796873,Sedentary,1,0
66,143,98.95934959,-29,4.590450912,22.77539062,1.469886001,720.2441405,Sedentary,1,0
58,114,78.73412698,-1,6.319588676,30.95117187,2.845388605,1431.230469,Sedentary,1,0
42,90,55.01807229,7,0,0,0,0,Sedentary,1,0
63,123,89.64788732,2,6.481086176,28.03125,3.294847057,1634.24414,Sedentary,1,0
